TestPower,PredictedSpeed
0,-35.3285
1,-24.7788
2,-14.2341
3,-3.68842
4,6.8645
5,17.4262
6,28.0059
7,38.6053
8,49.2316
9,59.8911
10,70.5873
11,81.3232
12,92.1091
13,102.95
14,113.852
15,124.817
16,135.855
17,146.974
18,158.176
19,169.472
20,180.867
21,192.37
22,203.988
23,215.727
24,227.602
25,239.615
26,251.778
27,264.102
28,276.593
29,289.268
30,302.135
31,315.206
32,328.495
33,342.013
34,355.651
35,369.277
36,382.899
37,396.528
38,410.145
39,423.7
40,437.072
41,450.269
42,463.302
43,476.173
44,488.862
45,501.369
46,513.707
47,525.889
48,537.922
49,549.816
50,561.583
51,573.226
52,584.758
53,596.184
54,607.513
55,618.754
56,629.91
57,640.991
58,652.003
59,662.948
60,673.839
61,684.678
62,695.472
63,706.227
64,716.944
65,727.636
66,738.302
67,748.952
68,759.589
69,770.215
70,780.842
71,791.469
72,802.104
73,812.748
74,823.414
75,834.097
76,844.808
77,855.552
78,866.331
79,877.151
80,887.998
81,898.74
82,909.356
83,919.855
84,930.248
85,940.539
86,950.737
87,960.847
88,970.882
89,980.836
90,990.693
91,1000.46
92,1010.13
93,1019.72
94,1029.24
95,1038.69
96,1048.07
97,1057.39
98,1066.64
99,1075.8
100,1084.79
